Record,Processing Step,Step Attribute,Attribute Value
NP.1844..HNE_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NP.1844..HNE_nc73291880_default,Taper,side,both
NP.1844..HNE_nc73291880_default,Taper,taper_width,0.05
NP.1844..HNE_nc73291880_default,Taper,window_type,Hann
NP.1844..HNE_nc73291880_default,Highpass Filter,corner_frequency,0.16423758110424108
NP.1844..HNE_nc73291880_default,Highpass Filter,filter_order,5
NP.1844..HNE_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NP.1844..HNE_nc73291880_default,Highpass Filter,number_of_passes,1
NP.1844..HNE_nc73291880_default,Lowpass Filter,corner_frequency,75.0
NP.1844..HNE_nc73291880_default,Lowpass Filter,filter_order,5
NP.1844..HNE_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NP.1844..HNE_nc73291880_default,Lowpass Filter,number_of_passes,1
NP.1844..HNE_nc73291880_default,Detrend,detrending_method,pre
NP.1844..HNE_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NP.1844..HNE_nc73291880_unprocessed,Cut,new_end_time,2019-10-15T05:36:48.000000Z
NP.1844..HNE_nc73291880_unprocessed,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NP.1844..HNN_nc73291880_default,Cut,new_end_time,2019-10-15T05:36:48.000000Z
NP.1844..HNN_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NP.1844..HNN_nc73291880_default,Detrend,detrending_method,linear
NP.1844..HNN_nc73291880_default,Detrend,detrending_method,demean
NP.1844..HNN_nc73291880_default,Remove Response,input_units,counts
NP.1844..HNN_nc73291880_default,Remove Response,method,remove_response
NP.1844..HNN_nc73291880_default,Remove Response,output_units,cm/s^2
NP.1844..HNN_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 90.0, 100.0)"
NP.1844..HNN_nc73291880_default,Remove Response,water_level,60
NP.1844..HNN_nc73291880_default,Detrend,detrending_method,linear
NP.1844..HNN_nc73291880_default,Detrend,detrending_method,demean
NP.1844..HNN_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:09.000000Z
NP.1844..HNN_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NP.1844..HNN_nc73291880_default,Taper,side,both
NP.1844..HNN_nc73291880_default,Taper,taper_width,0.05
NP.1844..HNN_nc73291880_default,Taper,window_type,Hann
NP.1844..HNN_nc73291880_default,Highpass Filter,corner_frequency,0.16423758110424108
NP.1844..HNN_nc73291880_default,Highpass Filter,filter_order,5
NP.1844..HNN_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NP.1844..HNN_nc73291880_default,Highpass Filter,number_of_passes,1
NP.1844..HNN_nc73291880_default,Lowpass Filter,corner_frequency,75.0
NP.1844..HNN_nc73291880_default,Lowpass Filter,filter_order,5
NP.1844..HNN_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NP.1844..HNN_nc73291880_default,Lowpass Filter,number_of_passes,1
NP.1844..HNN_nc73291880_default,Detrend,detrending_method,pre
NP.1844..HNN_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NP.1844..HNN_nc73291880_unprocessed,Cut,new_end_time,2019-10-15T05:36:48.000000Z
NP.1844..HNN_nc73291880_unprocessed,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NP.1844..HNZ_nc73291880_default,Cut,new_end_time,2019-10-15T05:36:48.000000Z
NP.1844..HNZ_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NP.1844..HNZ_nc73291880_default,Detrend,detrending_method,linear
NP.1844..HNZ_nc73291880_default,Detrend,detrending_method,demean
NP.1844..HNZ_nc73291880_default,Remove Response,input_units,counts
NP.1844..HNZ_nc73291880_default,Remove Response,method,remove_response
NP.1844..HNZ_nc73291880_default,Remove Response,output_units,cm/s^2
NP.1844..HNZ_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 90.0, 100.0)"
NP.1844..HNZ_nc73291880_default,Remove Response,water_level,60
NP.1844..HNZ_nc73291880_default,Detrend,detrending_method,linear
NP.1844..HNZ_nc73291880_default,Detrend,detrending_method,demean
NP.1844..HNZ_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:09.000000Z
NP.1844..HNZ_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NP.1844..HNZ_nc73291880_default,Taper,side,both
NP.1844..HNZ_nc73291880_default,Taper,taper_width,0.05
NP.1844..HNZ_nc73291880_default,Taper,window_type,Hann
NP.1844..HNZ_nc73291880_default,Highpass Filter,corner_frequency,0.20220018043776897
NP.1844..HNZ_nc73291880_default,Highpass Filter,filter_order,5
NP.1844..HNZ_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NP.1844..HNZ_nc73291880_default,Highpass Filter,number_of_passes,1
NP.1844..HNZ_nc73291880_default,Lowpass Filter,corner_frequency,75.0
NP.1844..HNZ_nc73291880_default,Lowpass Filter,filter_order,5
NP.1844..HNZ_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NP.1844..HNZ_nc73291880_default,Lowpass Filter,number_of_passes,1
NP.1844..HNZ_nc73291880_default,Detrend,detrending_method,pre
NP.1844..HNZ_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NP.1844..HNZ_nc73291880_unprocessed,Cut,new_end_time,2019-10-15T05:36:48.000000Z
NP.1844..HNZ_nc73291880_unprocessed,Cut,new_start_time,2019-10-15T05:33:12.000000Z
NP.1847.10.HNE_nc73291880_default,Detrend,detrending_method,linear
NP.1847.10.HNE_nc73291880_default,Detrend,detrending_method,demean
NP.1847.10.HNE_nc73291880_default,Remove Response,input_units,counts
NP.1847.10.HNE_nc73291880_default,Remove Response,method,remove_response
NP.1847.10.HNE_nc73291880_default,Remove Response,output_units,cm/s^2
NP.1847.10.HNE_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 45.0, 50.0)"
NP.1847.10.HNE_nc73291880_default,Remove Response,water_level,60
NP.1847.10.HNE_nc73291880_default,Detrend,detrending_method,linear
NP.1847.10.HNE_nc73291880_default,Detrend,detrending_method,demean
NP.1847.10.HNE_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:17.000000Z
NP.1847.10.HNE_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NP.1847.10.HNE_nc73291880_default,Taper,side,both
NP.1847.10.HNE_nc73291880_default,Taper,taper_width,0.05
NP.1847.10.HNE_nc73291880_default,Taper,window_type,Hann
NP.1847.10.HNE_nc73291880_default,Highpass Filter,corner_frequency,0.11613350732448445
NP.1847.10.HNE_nc73291880_default,Highpass Filter,filter_order,5
NP.1847.10.HNE_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NP.1847.10.HNE_nc73291880_default,Highpass Filter,number_of_passes,1
NP.1847.10.HNE_nc73291880_default,Lowpass Filter,corner_frequency,37.5
NP.1847.10.HNE_nc73291880_default,Lowpass Filter,filter_order,5
NP.1847.10.HNE_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NP.1847.10.HNE_nc73291880_default,Lowpass Filter,number_of_passes,1
NP.1847.10.HNE_nc73291880_default,Detrend,detrending_method,pre
NP.1847.10.HNE_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NP.1847.10.HNN_nc73291880_default,Detrend,detrending_method,linear
NP.1847.10.HNN_nc73291880_default,Detrend,detrending_method,demean
NP.1847.10.HNN_nc73291880_default,Remove Response,input_units,counts
NP.1847.10.HNN_nc73291880_default,Remove Response,method,remove_response
NP.1847.10.HNN_nc73291880_default,Remove Response,output_units,cm/s^2
NP.1847.10.HNN_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 45.0, 50.0)"
NP.1847.10.HNN_nc73291880_default,Remove Response,water_level,60
NP.1847.10.HNN_nc73291880_default,Detrend,detrending_method,linear
NP.1847.10.HNN_nc73291880_default,Detrend,detrending_method,demean
NP.1847.10.HNN_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:17.000000Z
NP.1847.10.HNN_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NP.1847.10.HNN_nc73291880_default,Taper,side,both
NP.1847.10.HNN_nc73291880_default,Taper,taper_width,0.05
NP.1847.10.HNN_nc73291880_default,Taper,window_type,Hann
NP.1847.10.HNN_nc73291880_default,Highpass Filter,corner_frequency,0.11613350732448445
NP.1847.10.HNN_nc73291880_default,Highpass Filter,filter_order,5
NP.1847.10.HNN_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NP.1847.10.HNN_nc73291880_default,Highpass Filter,number_of_passes,1
NP.1847.10.HNN_nc73291880_default,Lowpass Filter,corner_frequency,37.5
NP.1847.10.HNN_nc73291880_default,Lowpass Filter,filter_order,5
NP.1847.10.HNN_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NP.1847.10.HNN_nc73291880_default,Lowpass Filter,number_of_passes,1
NP.1847.10.HNN_nc73291880_default,Detrend,detrending_method,pre
NP.1847.10.HNN_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
NP.1847.10.HNZ_nc73291880_default,Detrend,detrending_method,linear
NP.1847.10.HNZ_nc73291880_default,Detrend,detrending_method,demean
NP.1847.10.HNZ_nc73291880_default,Remove Response,input_units,counts
NP.1847.10.HNZ_nc73291880_default,Remove Response,method,remove_response
NP.1847.10.HNZ_nc73291880_default,Remove Response,output_units,cm/s^2
NP.1847.10.HNZ_nc73291880_default,Remove Response,pre_filt_freqs,"(0.001, 0.005, 45.0, 50.0)"
NP.1847.10.HNZ_nc73291880_default,Remove Response,water_level,60
NP.1847.10.HNZ_nc73291880_default,Detrend,detrending_method,linear
NP.1847.10.HNZ_nc73291880_default,Detrend,detrending_method,demean
NP.1847.10.HNZ_nc73291880_default,Cut,new_end_time,2019-10-15T05:34:17.000000Z
NP.1847.10.HNZ_nc73291880_default,Cut,new_start_time,2019-10-15T05:33:42.000000Z
NP.1847.10.HNZ_nc73291880_default,Taper,side,both
NP.1847.10.HNZ_nc73291880_default,Taper,taper_width,0.05
NP.1847.10.HNZ_nc73291880_default,Taper,window_type,Hann
NP.1847.10.HNZ_nc73291880_default,Highpass Filter,corner_frequency,0.153239081620459
NP.1847.10.HNZ_nc73291880_default,Highpass Filter,filter_order,5
NP.1847.10.HNZ_nc73291880_default,Highpass Filter,filter_type,Butterworth gmprocess
NP.1847.10.HNZ_nc73291880_default,Highpass Filter,number_of_passes,1
NP.1847.10.HNZ_nc73291880_default,Lowpass Filter,corner_frequency,37.5
NP.1847.10.HNZ_nc73291880_default,Lowpass Filter,filter_order,5
NP.1847.10.HNZ_nc73291880_default,Lowpass Filter,filter_type,Butterworth gmprocess
NP.1847.10.HNZ_nc73291880_default,Lowpass Filter,number_of_passes,1
NP.1847.10.HNZ_nc73291880_default,Detrend,detrending_method,pre
NP.1847.10.HNZ_nc73291880_default,Detrend,detrending_method,baseline_sixth_order
