IMT,IMC,Data,Transform1,Transform2,Rotation,Transform3,Combination1,Reduction,Combination2
PGA,ARITHMETIC_MEAN,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,ARITHMETIC_MEAN
PGA,RADIAL_TRANSVERSE,acc,NULL_TRANSFORM,NULL_TRANSFORM,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGA,RADIAL_TRANSVERSE,vel,DIFFERENTIATE,NULL_TRANSFORM,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGA,GREATER_OF_TWO_HORIZONTALS,acc,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GREATER_OF_TWO_HORIZONTALS
PGA,GREATER_OF_TWO_HORIZONTALS,vel,DIFFERENTIATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GREATER_OF_TWO_HORIZONTALS
PGV,ROTD,acc,INTEGRATE,NULL_TRANSFORM,ROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGV,ROTD,vel,NULL_TRANSFORM,NULL_TRANSFORM,ROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGV,GMROTD,acc,INTEGRATE,NULL_TRANSFORM,GMROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGV,GMROTD,vel,NULL_TRANSFORM,NULL_TRANSFORM,GMROTD,NULL_TRANSFORM,NULL_COMBINATION,PERCENTILE,NULL_COMBINATION
PGV,CHANNELS,acc,INTEGRATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGV,CHANNELS,vel,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGV,GEOMETRIC_MEAN,acc,INTEGRATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GEOMETRIC_MEAN
PGV,GEOMETRIC_MEAN,vel,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GEOMETRIC_MEAN
PGV,QUADRATIC_MEAN,acc,INTEGRATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,QUADRATIC_MEAN
PGV,QUADRATIC_MEAN,vel,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,QUADRATIC_MEAN
PGV,ARITHMETIC_MEAN,acc,INTEGRATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,ARITHMETIC_MEAN
PGV,ARITHMETIC_MEAN,vel,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,ARITHMETIC_MEAN
PGV,RADIAL_TRANSVERSE,acc,INTEGRATE,NULL_TRANSFORM,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGV,RADIAL_TRANSVERSE,vel,NULL_TRANSFORM,NULL_TRANSFORM,RADIAL_TRANSVERSE,NULL_TRANSFORM,NULL_COMBINATION,MAX,NULL_COMBINATION
PGV,GREATER_OF_TWO_HORIZONTALS,acc,INTEGRATE,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GREATER_OF_TWO_HORIZONTALS
PGV,GREATER_OF_TWO_HORIZONTALS,vel,NULL_TRANSFORM,NULL_TRANSFORM,NULL_ROTATION,NULL_TRANSFORM,NULL_COMBINATION,MAX,GREATER_OF_TWO_HORIZONTALS
